postDate,craigId,area,price,title,longitude,beds,latitude,link,numPic,updateDate,date,size,contentLen,reposts
"2015-11-28T22:25:34-0500,2015-11-28T22:25:34-0500",5336373022, (Bushwick),799,"SPECTACULAR MODERN APARTMENT! WASHER/DRYER, CENTRAL A/C! NO FEE",-73.924439,,40.693041,/brk/roo/5336373022.html,10,"2015-11-28T22:25:34-0500,2015-11-28T22:25:34-0500",Nov 28,,31,0
"2015-11-28T22:25:16-0500,2015-11-28T22:25:16-0500,2015-11-28T22:27:39-0500",5336372767, (East Williamsburg),1900,Huge Room in Beautiful Loft avail DEC,,1600,,/brk/roo/5336372767.html,0,"2015-11-28T22:25:16-0500,2015-11-28T22:25:16-0500,2015-11-28T22:27:39-0500",Nov 28,,2,0
"2015-11-06T13:51:40-0500,2015-11-06T13:51:40-0500,2015-11-28T22:21:31-0500",5303445532, (Bushwick),1000,Amazing Space/Ready ASAP 4br MODERN,,,,/brk/roo/5303445532.html,14,"2015-11-06T13:51:40-0500,2015-11-06T13:51:40-0500,2015-11-28T22:21:31-0500",Nov 28,,10,0
"2015-11-24T13:56:53-0500,2015-11-24T13:56:53-0500,2015-11-28T21:50:22-0500",5330609167, (Williamsburg),1400,Dec 1 Bedroom with big windows and large closet!,,,,/brk/roo/5330609167.html,6,"2015-11-24T13:56:53-0500,2015-11-24T13:56:53-0500,2015-11-28T21:50:22-0500",Nov 28,,20,0
"2015-11-23T13:37:16-0500,2015-11-23T13:37:16-0500,2015-11-28T21:54:31-0500",5329011787, (Bushwick),950,Roomate for 4 bedroom with a sick ass dog and backyard!!!,-73.918572,,40.701404,/brk/roo/5329011787.html,5,"2015-11-23T13:37:16-0500,2015-11-23T13:37:16-0500,2015-11-28T21:54:31-0500",Nov 28,,18,0
"2015-11-28T22:10:08-0500,2015-11-28T22:10:08-0500",5336360287, (Cypress Hills Brooklyn),700,Comfortable Room College Students,,210,,/brk/roo/5336360287.html,5,"2015-11-28T22:10:08-0500,2015-11-28T22:10:08-0500",Nov 28,,7,0
"2015-11-13T13:12:05-0500,2015-11-13T13:12:05-0500,2015-11-28T21:38:14-0500",5314198921, (OCEAN PARKWAY),650,Furnished-Room,,,,/brk/roo/5314198921.html,3,"2015-11-13T13:12:05-0500,2015-11-13T13:12:05-0500,2015-11-28T21:38:14-0500",Nov 28,,9,0
"2015-11-26T16:21:27-0500,2015-11-26T16:21:27-0500,2015-11-28T21:38:51-0500",5333320160, (brooklyn),500,641 east 77 street,-73.9349,,40.6505,/brk/roo/5333320160.html,5,"2015-11-26T16:21:27-0500,2015-11-26T16:21:27-0500,2015-11-28T21:38:51-0500",Nov 28,,1,0
"2015-11-18T15:04:20-0500,2015-11-18T15:04:20-0500,2015-11-28T21:39:08-0500",5321891504, (Bedstuy),1000,room for rent,-73.9743,0,40.5979,/brk/roo/5321891504.html,0,"2015-11-18T15:04:20-0500,2015-11-18T15:04:20-0500,2015-11-28T21:39:08-0500",Nov 28,,1,0
"2015-11-28T21:15:42-0500,2015-11-28T21:15:42-0500",5336311430, (Crown Heights),750,Need last minute housing for Dec. 1st? 👀 👀 👀,-73.950334,,40.671638,/brk/roo/5336311430.html,9,"2015-11-28T21:15:42-0500,2015-11-28T21:15:42-0500",Nov 28,,17,0
"2015-11-28T21:12:16-0500,2015-11-28T21:12:16-0500",5336308214, (310 Tompkins ave),875,Beautiful New 4BR/2BA private Roof access steps to Bedford G train,-73.944683,,40.687218,/brk/roo/5336308214.html,15,"2015-11-28T21:12:16-0500,2015-11-28T21:12:16-0500",Nov 28,,45,0
"2015-11-25T09:30:03-0500,2015-11-25T09:30:03-0500,2015-11-28T20:55:51-0500",5331635479, (BEDSTUY (A & C TRAINS)),1200,"ROOM AVAIL IN LOVELY DUPLEX WITH W/D, DISHWASHER, ROOFDECK",-73.957386,,40.681761,/brk/roo/5331635479.html,14,"2015-11-25T09:30:03-0500,2015-11-25T09:30:03-0500,2015-11-28T20:55:51-0500",Nov 28,,17,0
"2015-11-28T20:51:39-0500,2015-11-28T20:51:39-0500",5336288332,,,$880 Spacious Gorgeous Room - near all - utilities and wifi,-74.0133,,40.6412,/brk/roo/5336288332.html,0,"2015-11-28T20:51:39-0500,2015-11-28T20:51:39-0500",Nov 28,,3,0
"2015-11-28T21:43:38-0500,2015-11-28T21:43:38-0500",5336337039, (Crown Heights),1500,Great New Reno/Gut Duplex Share in Crown Heights,,1200,,/brk/roo/5336337039.html,4,"2015-11-28T21:43:38-0500,2015-11-28T21:43:38-0500",Nov 28,,5,0
